Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,class
2,2,2,1,50,8,3,0,0,2,0,-1,9,3
2,1,2,1,56,9,3,0,0,2,0,-1,9,1
2,1,1,1,23,5,3,0,0,0,0,-1,3,1
1,1,1,1,18,4,3,0,0,0,0,-1,9,1
1,1,1,2,27,6,2,0,0,0,0,-1,4,1
1,1,1,1,39,7,2,0,0,0,0,-1,5,1
1,1,1,2,31,6,3,0,0,0,0,-1,4,1
1,1,3,1,60,9,3,5,1,0,0,-1,0,1
1,1,2,1,4,1,3,0,0,2,0,-1,9,1
1,1,1,2,24,5,3,0,0,0,0,-1,9,1
1,1,1,2,30,6,3,0,0,0,0,-1,9,1
1,1,3,1,56,9,3,6,9,0,0,-1,0,1
3,1,1,1,44,7,2,0,0,0,0,-1,5,1
3,2,1,1,46,8,3,0,0,0,0,-1,19,1
1,1,1,1,19,4,3,0,0,0,0,-1,9,1
1,2,3,2,62,9,1,4,1,0,0,-1,0,-1
1,1,1,1,73,10,3,0,0,0,0,-1,9,1
2,3,2,1,1,1,3,0,0,2,0,-1,9,1
1,1,1,1,38,7,3,0,0,0,0,-1,9,1
2,1,1,1,34,6,3,0,0,0,0,-1,9,1
1,1,1,2,28,6,1,0,0,0,0,-1,9,1
1,1,1,2,27,6,3,0,0,0,0,-1,9,1
2,1,2,2,1,1,3,0,0,2,0,-1,9,1
1,3,2,2,5,1,3,0,0,2,0,-1,9,-1
2,1,1,2,31,6,3,0,0,0,0,-1,9,3
1,1,1,2,22,5,3,0,0,0,0,-1,9,1
1,1,3,2,39,7,3,9,8,0,0,-1,0,1
1,1,1,2,38,7,3,0,0,0,0,-1,9,1
2,1,1,2,30,6,3,0,0,0,0,-1,9,1
