a,b,c,d,e,f,g,h,i,j,class
17.1822,15.8933,2.4093,0.6648,0.3864,-16.4698,-3.1572,-3.9904,66.9122,61.0713,h
33.7228,18.2951,3.0639,0.2676,0.1394,32.5576,18.3456,-4.4196,11.0782,94.1792,g
61.3737,21.366,3.2621,0.1816,0.1053,-2.9857,31.7738,-12.2608,0.9761,236.924,g
20.0044,11.0652,2.2788,0.6737,0.45,13.7202,19.7044,-9.9991,59.473,197.584,g
21.2509,10.8657,2.1847,0.5686,0.2843,14.7015,17.944,7.8355,7.182,123.84,h
25.4562,19.7935,2.5569,0.4161,0.2372,6.6005,-15.6275,13.5827,0.2694,142.248,g
21.4802,11.5451,2.3766,0.6008,0.313,10.7882,20.2038,8.9408,34.988,97.1281,g
13.0633,10.8801,2.0952,0.7631,0.4538,-14.0036,4.9914,10.4674,22.795,47.5687,g
164.2,63.4424,3.2047,0.2491,0.1345,-171.137,-135.894,44.8997,24.194,307.891,h
44.3569,9.7357,2.4955,0.4505,0.2252,48.0017,-28.215,-5.3309,26.077,153.025,g
119.2612,88.7506,4.2007,0.0869,0.0393,-145.2984,89.044,74.6771,25.7092,336.6687,h
42.1323,20.3812,2.8338,0.3886,0.2295,-15.8315,-36.5094,-16.6041,73.055,233.331,h
61.6682,21.7989,3.3395,0.157,0.0808,8.4025,17.216,-10.3177,7.847,190.618,g
39.7253,18.2909,2.7476,0.3771,0.243,-34.8754,-19.2068,-13.711,6.3241,109.0673,h
12.7187,11.6768,2.0626,0.7186,0.368,15.2463,-5.807,11.4796,71.792,248.427,g
44.3696,17.8222,3.1131,0.2736,0.1376,-14.1057,28.2131,7.8892,4.7954,248.103,g
78.0294,26.5101,3.2696,0.1924,0.1045,59.6288,52.276,-23.5879,0.4823,246.387,g
47.2509,12.6244,2.7316,0.4045,0.2421,34.7172,35.5274,9.7299,4.787,155.237,g
21.3715,16.0779,2.5159,0.4177,0.2149,-13.0871,-6.8394,-10.852,18.5084,122.292,g
29.342,16.8688,2.3694,0.4702,0.2704,25.0356,5.3141,12.9955,74.6944,173.7519,h
81.7861,17.9189,3.1326,0.2864,0.1391,-93.5671,47.9659,13.1476,63.938,276.7126,h
76.5687,34.0259,3.2982,0.1339,0.0687,28.6697,51.3486,-16.8529,28.9443,211.489,h
187.255,62.7683,3.4443,0.1891,0.1055,-158.202,-152.611,-60.4727,44.665,240.98,h
90.4882,27.071,3.2476,0.1148,0.0591,-18.555,-42.0916,17.9548,76.619,91.3089,h
20.1958,7.2301,2.1287,0.7509,0.3829,3.5491,-11.1057,-5.4224,17.9072,137.714,g
51.0625,21.492,3.1045,0.1958,0.1183,3.7852,-37.1419,15.7351,4.629,159.512,g
179.965,146.529,3.5626,0.156,0.0839,-128.974,-207.837,-127.11,78.073,282.717,h
68.619,13.7645,2.6871,0.3083,0.1593,18.6779,57.7698,5.6543,1.9636,256.718,g
23.9382,22.147,2.7257,0.3055,0.1699,-6.1041,-8.861,-9.0594,3.7058,197.0325,h
27.9856,19.2893,2.8684,0.3209,0.1699,8.6762,20.0003,-4.253,15.8311,194.105,g
42.5309,24.629,3.0116,0.2278,0.1222,11.5399,37.5428,15.7883,27.4131,250.684,g
20.3447,7.2127,2.1287,0.7435,0.3755,-3.3175,11.0442,-5.585,46.8416,249.867,g
26.6387,9.6367,2.3314,0.4848,0.2821,31.5284,20.5391,-6.8911,77.509,107.627,g
88.9928,37.5409,3.8119,0.1587,0.0816,51.2458,62.8112,-17.7679,3.963,354.993,g
39.5388,8.7202,2.6085,0.4631,0.2401,25.2834,32.4583,2.8756,15.032,292.171,g
12.6054,11.8205,2.1746,0.6957,0.3779,-16.0961,9.8325,-7.7148,6.0163,139.723,g
13.1261,10.6377,2.2368,0.7768,0.4725,13.5464,3.6146,10.5661,66.85,189.665,h
69.5005,26.135,3.1902,0.1936,0.0971,55.8155,54.2763,-20.4098,7.564,266.43,g
36.7468,24.3136,2.792,0.3233,0.1728,3.7186,-3.8453,-13.0225,23.2892,195.5377,h
27.3463,16.0693,2.6064,0.3144,0.1597,-26.2384,-14.5259,-11.4329,8.19,125.036,g
20.0961,7.1571,2.1089,0.7704,0.393,22.0709,12.3311,5.24,37.783,98.7046,g
26.3855,13.0137,2.6646,0.5658,0.3211,8.9559,-1.4528,-8.8425,53.4942,217.2301,h
69.865,26.058,3.207,0.2086,0.1065,7.853,22.5798,21.2982,3.4938,274.627,g
81.5429,15.3532,2.936,0.19,0.0991,68.7619,38.8592,6.7577,2.008,205.866,g
19.9076,9.5357,2.5775,0.5873,0.3003,25.6393,5.5834,4.1055,72.58,171.561,h
12.6161,11.8178,2.3551,0.7064,0.3642,15.54,-7.2472,11.1629,65.013,198.666,g
25.7036,16.313,2.7889,0.4488,0.2659,1.7939,18.0822,13.6775,8.435,122.932,g
33.7757,17.5674,2.7011,0.4199,0.2458,-25.2803,-25.8761,9.4229,1.314,231.062,g
19.321,16.7591,2.4624,0.4759,0.2914,1.7892,11.5461,11.3353,70.87,127.306,g
72.0272,27.667,3.0535,0.2016,0.1065,-74.9101,55.356,22.272,9.423,277.917,g
88.1144,23.3753,2.7126,0.3159,0.1676,-102.457,53.8003,11.4796,41.7347,123.176,h
28.4428,18.6504,2.6299,0.2978,0.1583,18.8599,23.6378,-11.6938,36.2739,253.426,g
35.6734,17.9468,2.8825,0.2844,0.1723,-25.2885,-19.74,-5.5409,5.955,112.79,g
131.0348,85.2287,4.2541,0.0542,0.0215,48.8325,103.3835,47.9449,88.7998,317.071,h
