Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,class
86232,10,Cairns,17.4,29,0,3.6,11.1,NNE,33,SE,NNE,11,19,63,61,1013.1,1008.9,1,0,26.1,27.8,No,0,No
57576,5,Bendigo,6.8,14.4,0.8,0.8,,S,46,SW,S,17,22,80,55,1010.2,1012.4,5,4,10.4,12.7,No,0,No
124071,8,Walpole,10.1,15.4,14.6,,,WSW,31,SW,SSE,13,9,70,61,1014.4,1016.1,,,12.3,13,Yes,0,No
117955,3,Perth,14.4,33.4,0,8,11.6,SW,41,ESE,SW,9,17,40,23,1019.2,1016.6,1,0,23,32.3,No,0,No
133468,7,AliceSprings,6.8,14.3,10,0.2,7.3,E,28,ENE,ESE,15,13,92,47,1027.6,1024.4,7,1,7.3,13.7,Yes,0,No
136631,6,Darwin,19.3,29.9,0,9.2,11,ESE,43,ESE,E,26,17,44,37,1015.9,1012.1,1,1,23.2,29.1,No,0,No
75844,4,Watsonia,17.9,25.8,0,10.6,2.1,SW,44,NNE,SSW,17,19,56,99,1014.4,1014.9,6,8,24.7,15.3,No,29.2,Yes
21853,6,NorfolkIsland,13.8,20.1,0,3.4,6.2,W,65,WNW,WNW,19,15,62,81,1016.5,1014.8,1,7,18.2,16,No,2,Yes
19088,3,NorahHead,20.2,26.7,0.4,,,ESE,31,S,ENE,2,11,86,64,1020.4,1019.6,,,22.7,25.8,No,0.4,No
132305,11,Launceston,8.5,20.2,0,,,NW,33,NNE,NNW,6,20,70,47,,,1,8,12.7,19.2,No,0,No
5116,3,BadgerysCreek,16.3,22.9,8.4,,,SSW,26,SSW,ESE,13,9,68,64,1018.9,1017.2,,,18.9,22.2,Yes,0.2,No
