loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,loan_status,zip_code,addr_state,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,last_pymnt_amnt,collections_12_mths_ex_med,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,class
6500,6500,6500,36 months,10.49,211.24,B,B2,Project Manager,10+ years,MORTGAGE,58000,Not Verified,Current,151xx,PA,22.43,1,1,3,,5,0,4995,52.6,21,w,4383.81,4383.81,2742.33,2742.33,2116.19,626.14,211.24,0,0,0,44685,0,0,1,16,39690,22,1,2,4468,41,9500,0,0,1,debt_consolidation
3600,3600,3600,36 months,19.03,132.02,D,D3,Grocery Manager,1 year,RENT,24000,Not Verified,Fully Paid,880xx,NM,5.95,0,3,,,2,0,5195,54.7,2,f,0,0,3748.958324,3748.96,3600,148.96,3040.63,0,0,0,5195,0,0,0,,0,,0,0,2715,55,9500,0,0,3,debt_consolidation
24375,24375,24375,36 months,19.99,905.74,D,D4,Senior Business Information Sys Eng,9 years,RENT,125000,Not Verified,Fully Paid,940xx,CA,3.65,0,0,,,4,0,11440,91.5,12,w,0,0,25111.92741,25111.93,24375,736.93,25139,0,0,0,11440,0,0,0,,0,,0,1,4610,92,12500,0,0,0,debt_consolidation
35000,35000,35000,36 months,18.99,1282.79,D,D3,BANKER,7 years,OWN,300000,Not Verified,Charged Off,110xx,NY,21.55,0,0,,,22,0,126750,59,44,w,0,0,1208.94,1208.94,728.91,480.02,1282.79,0,0,0,231414,0,1,2,7,104664,69,4,8,25297,64,212600,1,1,4,credit_card
32400,32400,32400,36 months,11.44,1067.5,B,B4,Director IT,5 years,OWN,255000,Source Verified,Current,115xx,NY,10.91,1,1,22,,10,0,33722,88.5,15,w,22803.74,22803.74,12758.52,12758.52,9596.26,3162.26,1067.5,0,0,0,311460,3,3,5,4,114429,93,1,4,8988,91,38100,2,0,3,credit_card
18350,18350,18350,36 months,17.99,663.31,D,D2,Customer Service/Contracts,8 years,MORTGAGE,51000,Not Verified,Current,217xx,MD,33.65,4,0,6,,12,0,23719,96,18,f,11388.87,11388.87,10594.62,10594.62,6961.13,3633.49,663.31,0,0,0,486338,0,0,0,45,17512,,0,1,7323,96,24700,0,0,0,debt_consolidation
4000,4000,4000,36 months,7.99,125.33,A,A5,inspector packer,9 years,MORTGAGE,38000,Not Verified,Current,162xx,PA,13.46,0,0,,,4,0,4371,48.6,6,w,2664.41,2664.41,1625.74,1625.74,1335.59,290.15,125.33,0,0,0,17210,0,0,0,28,12839,66,1,2,2833,61,9000,0,0,3,debt_consolidation
6900,6900,6900,36 months,18.06,249.66,D,D2,Cashier/Admin,4 years,OWN,20000,Verified,Current,344xx,FL,33.49,0,0,,,6,0,6339,85.7,14,f,6411.9,6411.9,778.47,778.47,488.1,290.37,249.66,0,0,0,20836,0,0,0,29,14497,66,0,1,2877,71,7400,0,4,0,debt_consolidation
40000,40000,40000,60 months,9.93,848.51,B,B2,Supervisor of Benefits and Compliance,< 1 year,MORTGAGE,110000,Source Verified,Current,190xx,PA,35.54,0,0,,,13,0,59045,52.6,25,w,37904.12,37904.12,3349.91,3349.91,2095.88,1254.03,848.51,0,0,0,399697,1,1,2,5,101430,42,0,0,20478,51,112200,4,2,2,credit_card
24000,24000,24000,60 months,9.93,509.11,B,B2,Trademark Practice Managing Partner,< 1 year,RENT,180000,Not Verified,Current,107xx,NY,20.01,0,0,,,13,0,14294,29,20,w,23060.74,23060.74,1514.09,1514.09,939.26,574.83,509.11,0,0,0,193258,0,0,1,23,178964,40,0,1,7233,35,49300,0,0,0,small_business
5400,5400,5400,36 months,21.97,206.15,E,E4,Special Education Paraprofessional,2 years,RENT,15000,Verified,Current,688xx,NE,32,0,0,,,7,0,5571,61.2,9,w,2682.5,2682.5,4315.97,4315.97,2717.5,1598.47,206.15,0,0,0,22572,0,0,0,65,17001,93,1,3,1951,83,9100,0,0,0,debt_consolidation
