1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,class
,13,12,-0.146496688,1,3,,-34.79266226,6,1,-56.6519675,-51.69100366,59.81831444,-99.2141545,15,-10.31074222,18,4,-10.82822379,-8.212933627,3,1,1,5,13.34926651,12,15,40.76123497,1,1,5,5,11.78232789,79.01950534,-49.71467211,5,2.540591393,77.63228656,-9.915068472,,38.51388767,-1.882304556,52.13797523,,11,18.35932241,,3,18.36586769,5,,58.43272919,-83.83978487,7.543573763,8.049604704,,33.43514828,-40.0657107,0
60.04026689,12,9,-7.340463164,,,,-34.9826737,9,,67.8317848,73.32706498,91.57015301,-181.2004617,15,-6.465297616,15,7,63.83403571,5.594715051,8,3,2,4,18.4499904,14,,42.86109874,6,1,5,,1.083251305,127.1734416,-47.83546814,3,0.125965965,89.25666568,-6.943591797,-35.64723349,39.26976184,1.002799881,,,11,-39.54473618,0,1,15.23070324,3,16,65.37888372,-54.14552672,-73.92545544,,23.33273825,42.95091563,-40.40959044,0
66.20427926,13,,22.37852143,1,3,23,-51.18047716,5,0,47.9171018,99.63310296,40.0035092,-28.79291324,19,-7.549320809,18,1,11.10440284,-0.094579552,8,4,2,1,-28.13833162,16,17,39.76399592,1,0,5,4,19.12919356,91.09272665,-35.81146861,5,0.09793576,63.06599355,-16.55896558,-27.30252575,-64.59120773,1.54845852,,1,12,24.94620328,0,,,1,13,20.42183675,-38.40515887,100.155209,-13.94366438,27.54159068,38.52278515,-40.25589353,0
-138.7507651,9,12,23.45120642,0,2,,,6,1,63.44429009,-46.04388913,-90.98368929,-86.96808064,19,-23.85629254,19,7,-12.95464211,24.2178513,3,3,,9,,12,11,43.55820229,6,1,4,4,-3.830917969,,-32.19922237,3,2.665913913,10.30165904,-3.01620258,9.962822829,-44.18429236,0.643482723,28.54808738,1,,-30.58218954,1,6,23.20895981,3,11,-13.44196929,-67.54187975,-41.65726914,-40.12058223,13.92262305,40.81085652,-23.56237726,0
-0.715196427,13,11,9.807575226,0,3,,-16.58930955,7,0,91.38114806,43.77795216,28.12872079,-155.4187171,17,-20.3544975,15,1,-85.53472383,27.14760037,10,,2,8,1.781808661,11,13,,5,1,5,,11.91300201,97.99203933,,3,3.343673307,73.2379869,8.375587525,-3.609558686,,4.991750379,37.77054644,2,,-65.10426959,1,4,9.852397731,3,,47.92637465,2.74818406,,-36.01576964,40.91954764,34.60532037,-48.62468796,0
95.89302631,13,10,63.48176723,0,2,22,-67.26487819,10,1,-1.490099292,12.83278721,-40.49900145,-106.8407793,19,-17.12651022,19,6,-11.17395179,8.704092152,1,5,3,5,1.679037313,13,15,53.49669954,5,3,3,3,12.66520603,125.5943094,,,0.309319449,13.31074429,-1.129410645,-53.27539515,-58.55733311,-1.682524762,27.92767954,2,,-104.5503127,0,3,17.19070948,2,15,35.48887693,-47.74264557,-49.08552221,,20.1311229,33.60817703,-51.4504185,1
,13,13,34.50879205,0,3,23,-54.63308095,7,0,38.34006361,-38.81355086,57.57390001,-30.64710168,18,-1.720462674,16,3,-17.20950428,-3.281411973,2,,1,7,-51.62975762,16,13,43.56588325,4,0,4,3,3.000338624,75.64044984,,4,1.987569064,106.7499698,2.730412327,1.592888196,60.72001785,-1.138596784,32.5210978,2,11,-20.50077678,0,5,21.22476554,3,10,-15.98321608,-24.33793314,7.487545321,-14.16042547,24.91317318,29.83833809,,1
-91.2860867,13,12,28.3922183,0,,23,,9,0,12.74232933,83.77259062,-38.51185643,-60.16067331,15,,15,2,-59.35384151,-6.257181336,4,1,1,5,33.07928942,16,14,46.88907371,,0,4,4,17.13202973,,-52.21557167,3,0.720241122,68.91589102,-7.869116611,-38.93200404,11.06045136,3.795824179,24.81159058,2,11,-46.228675,0,,21.58747375,2,15,,,7.363290487,20.50126762,30.0513211,30.48516629,-32.68875198,1
-102.3299575,12,8,37.10866424,1,3,24,-48.28504038,9,0,-20.13595803,-48.24543851,115.641549,-9.37042423,20,-14.59429246,16,4,-36.54448547,-26.03893644,5,,2,5,-50.44139485,17,14,49.51328523,1,1,4,3,0.817958794,92.66741954,-29.23445676,7,0.156145866,,2.507568176,8.548873576,-7.862041229,-1.007408083,29.90181168,0,11,5.534609202,0,5,26.07836594,3,12,15.55369824,-10.85838245,31.95006667,-42.11209942,35.5212679,46.58899949,-72.29901777,0
-63.61315119,10,11,,0,3,23,,10,0,14.85107527,89.54881253,76.11384938,-149.0089064,17,-10.03856313,17,7,49.55769785,-26.40351552,5,3,3,4,-36.58182728,16,,36.08361639,3,,3,3,13.48945727,84.40347263,-6.34922021,4,14.1568205,78.6282548,19.12303573,,39.20805724,1.560418399,13.51749714,0,11,0.710887326,0,,30.5481001,4,15,39.11229683,-133.8512345,-22.07963815,4.509124133,23.72894656,36.96736299,,0
-138.2083777,12,,45.00213001,1,2,24,-48.2341105,7,0,-16.67860047,-6.877054507,-77.64100761,-25.30401305,,-8.970720281,17,3,34.31072605,-1.432807779,,2,2,5,32.54793644,11,12,47.79498123,3,2,2,2,17.33782558,97.58239211,11.08548224,6,2.21950689,50.19633886,4.011041557,-22.92652276,-38.31755996,-2.664277355,29.51542545,0,12,-6.397053078,1,3,17.66154282,1,16,53.88187347,23.25895314,-8.447661233,-39.69958202,40.3957878,33.17448976,-19.81410588,1
-243.8051514,11,12,23.82498141,1,2,22,-49.86435993,8,0,24.927934,-56.43170169,,,16,-20.26391194,17,5,,5.054395301,6,4,2,4,51.6167958,14,14,28.7555043,,1,4,6,17.47613306,62.02807628,-55.86084574,1,4.31365478,49.76402216,10.41372034,9.08547448,-18.6760048,2.779614663,46.30137657,0,10,-91.08181994,1,7,26.08132902,2,15,-4.241075961,,126.4292194,-4.921113184,25.47075712,37.50566698,-37.05938587,0
101.1591792,12,10,53.69694746,0,1,24,-28.58128805,8,0,31.35304016,-71.92875776,121.8132151,-10.85021879,18,-6.384808675,18,,11.87305727,25.14788645,5,6,2,,-15.76545441,16,13,,1,0,3,7,14.39855001,110.2602947,-19.63911482,3,1.922303397,73.63887765,,-11.33641343,-0.71651777,1.284810501,36.02012106,0,11,-26.69423254,1,4,26.76635689,3,13,14.28104309,60.41227051,31.72565029,-34.85882611,35.82964302,39.20030686,-13.16993501,0
-78.91716584,13,11,42.48731138,0,2,,-26.5861991,9,1,-40.36251461,-86.17526074,17.79949826,-45.15409193,17,-9.474575336,16,4,-23.0163093,-23.11315735,4,3,2,4,39.96674265,14,15,60.73645116,,,5,3,13.90040677,64.50400306,-25.91671383,3,2.606841154,57.31635331,-18.80355609,0.358539117,1.170973648,,,1,11,-49.70217646,0,3,27.67185755,,16,26.5944721,-25.16606182,54.75960492,-15.44561578,,33.37222492,,0
-101.5585646,,12,19.18003715,,2,22,-42.96192968,7,0,31.2769751,-2.614925383,53.22317481,-71.72657399,16,-9.479083044,19,4,-10.87743885,-6.449929496,7,8,,6,4.656460309,13,14,49.86277916,1,1,3,7,1.199639526,93.83112423,,5,1.22844575,9.094374642,-4.204447506,-17.89517964,51.77847504,1.137164644,25.1965136,,12,,1,5,23.48382462,5,,,-75.33566044,-31.09311124,-58.05325582,22.76372729,41.19889989,-24.06274389,0
-12.37115858,13,10,21.34993982,1,3,23,-48.25231258,,0,112.0275146,-21.78488788,,-100.65335,18,-13.49935856,14,3,3.035716041,-11.17697929,5,4,3,6,-7.785421958,12,11,,4,0,5,,,135.3918459,-21.78282292,3,4.009894502,90.21685588,-10.53057247,-16.89500888,-4.472802588,-1.792339154,42.03051819,,10,-6.622789876,0,5,32.37098374,5,,15.55680033,4.174326522,37.12756238,-6.430252661,38.13013812,43.36278631,-36.28739176,0
-3.183765032,12,7,38.25306848,1,3,24,-66.7354221,8,0,,64.93717101,-8.341846627,-93.98128725,15,,17,1,8.459964303,-46.64418077,5,4,1,5,13.45536233,16,15,70.58403993,3,0,5,5,30.92045675,117.6212824,-64.37715739,7,5.086031342,5.429576654,-12.13785568,-24.77230738,46.00934744,2.933654572,30.25752345,2,10,-14.10696193,,,21.32719135,,14,-12.28771099,-16.50379824,43.35700017,-4.546498165,15.7305398,33.65770946,-29.45758203,0
-39.97819226,13,9,38.99900422,0,2,22,-52.98637119,8,,0.044586607,-35.30472871,76.37204674,-65.02109277,18,-13.24055598,17,5,-130.6188495,7.46403849,9,4,2,6,38.92894163,13,13,48.71407371,7,0,5,4,13.94439036,109.8118598,-45.46667636,2,7.851187786,73.48199011,-27.01959501,-23.69227003,5.802836185,-0.213606773,45.80909484,0,12,-28.62742698,0,5,32.1707035,4,13,13.985195,9.313954617,43.23614633,-28.60033977,27.68437793,42.48543904,-13.63789382,0
-16.41249197,13,,35.54308492,1,,24,-34.00393483,,0,,-86.7908801,117.5408001,-72.9324847,,0.112992767,18,4,-4.141012885,-7.637414925,,7,0,7,34.1896737,13,15,,5,1,3,3,-0.16180103,96.29633298,-49.32072026,4,3.197934353,1.996967765,-7.29229723,-21.07718138,7.052255304,2.252234703,21.76554629,0,9,-2.352096001,0,3,22.65075078,3,17,44.03804607,-85.57161936,36.04441177,-62.32834288,23.36639006,41.96102858,-38.90454946,0
-143.5918561,13,10,,0,3,22,-13.88988607,,1,-5.877195179,63.06366576,79.61664357,-106.9254655,19,,17,2,-37.00908387,-10.61299596,0,6,2,7,77.63885109,13,16,51.50157593,5,0,4,,8.577301753,71.9827157,-54.80961785,3,0.917782359,-26.83080216,12.96741031,-44.0842709,-87.37522436,-3.346903464,26.96706836,0,11,-34.74140815,,6,13.84620141,3,12,15.47539188,,59.73904342,-29.29743446,31.27755296,40.20628792,-19.40849373,0
56.86770336,13,12,,0,2,24,-64.64071474,6,0,3.977742539,79.1195171,74.34800737,-91.71301329,17,-10.76784059,16,2,20.92088752,-21.54977556,5,4,2,1,2.68531126,12,12,48.40469805,6,0,4,4,,191.2855851,-71.19779055,2,6.648022446,44.99879042,-10.77458475,-22.00862269,-17.14964242,-1.295590401,38.80314839,,10,24.55437472,0,4,21.72537202,3,,6.175461865,-51.51447084,-54.75258133,-11.9042742,25.80377509,36.37293411,-25.13690461,0
-45.13192148,12,11,65.72957591,0,2,21,-60.05430401,8,0,3.926526012,-83.972727,35.12696462,-37.56045114,16,-16.09090905,19,6,-19.08874574,-2.411415244,3,8,2,7,-10.06502309,17,13,,3,1,5,3,21.9419153,67.51866514,-43.76103451,3,5.497324572,104.1331959,-0.311473109,-13.33696924,-11.27725079,-1.275460868,21.50880869,0,12,-32.4960647,0,3,20.22675237,3,14,14.65324281,22.94383232,-6.223938555,-2.783685079,,41.02258339,-45.07634888,0
183.2355973,11,,6.92996056,1,3,23,,7,0,50.48850488,-9.936969541,,-18.83992817,16,-5.453086428,15,3,-44.48173177,4.506835324,4,2,,4,21.24419813,13,11,49.09979715,3,0,4,4,1.747640449,91.38592339,-45.72161616,4,1.934338596,,-17.46658198,-27.38782304,15.06656643,5.119290445,33.67711799,0,9,-35.65597978,0,7,10.70663327,2,18,62.86950276,-32.29825286,-24.46108022,,26.08177888,,-29.64919292,1
-90.55339153,11,11,22.65070275,0,0,23,-66.4631381,8,0,-23.90376657,-76.48863546,41.45562525,-40.66123277,18,-3.173464955,,3,91.89546078,10.30897127,6,4,2,4,53.86153342,13,15,,,1,1,4,11.71213231,160.1066219,-78.12562283,4,0.21127326,50.41746197,,-10.15675436,15.35395617,0.583602808,16.81930961,0,12,22.98220355,0,4,,3,16,52.1957077,-82.2258997,,-33.60218976,35.35381941,44.91126512,-18.80525295,0
29.7214409,12,9,,2,3,23,-30.6754577,,0,-2.557340865,70.25772836,13.82745569,-88.67774819,17,-10.62462548,17,2,-146.8348904,1.966086836,4,4,2,4,,12,12,59.08909216,3,0,4,0,,111.3765864,-28.27352176,7,7.765654797,75.29684392,-41.38992672,,-21.44288902,-4.204979888,30.39351095,2,11,,0,4,25.5757438,2,,-1.484304738,-48.96058632,110.2407909,-3.936055784,19.93924929,36.42889803,-13.31167302,0
,13,9,-3.715493369,1,,24,-17.63431797,9,0,-96.3693893,-13.74515258,18.15931944,-75.88752479,,-8.121482901,18,2,,-2.688757056,5,,2,3,5.834667994,15,17,50.17216113,4,,3,6,-6.896356561,113.8785473,-42.75195961,4,0.667238938,-47.58813512,-0.287692031,-21.90833913,-49.5136251,-0.456525398,,1,,30.12967909,0,8,11.71052545,3,12,-5.977534864,,-61.47946217,-23.25474422,14.31301052,39.4999471,,0
-7.519701359,11,12,53.45494803,0,3,23,-67.32108121,6,0,57.8290224,52.82936571,11.67207896,-63.31304115,,-18.73049595,15,4,14.34492201,5.113410935,4,4,3,6,-25.42621555,16,9,40.81337101,5,1,2,2,,64.04730643,-15.67268442,3,0.231896928,22.63726188,20.74832512,-26.05503767,-17.63308617,1.122336248,,1,11,-40.20361856,0,5,31.19622053,3,13,29.14011339,-23.56810518,38.55198158,-5.004619498,20.08428761,,,0
-25.10501041,12,8,,0,3,,-27.01886355,8,,70.48201855,-65.0414261,10.08360078,,18,-6.034746631,20,5,-54.25467132,-30.65412587,6,6,,9,71.83361885,15,,64.89397566,3,0,4,4,22.98350178,73.54338754,-101.0023575,1,0.369330954,134.3033219,-6.636236359,-15.35290599,13.26970016,2.228226501,33.56328145,1,12,-32.56373064,0,,23.1963571,4,14,13.10077259,,-16.29642492,-26.87148808,27.47740453,41.50742943,-21.33837142,1
,10,11,30.34399064,2,3,,-58.38877467,9,,67.71201787,-53.36723328,-2.851395036,-87.01902941,16,-12.28348771,17,3,-21.64245255,1.731095976,4,3,2,3,,18,15,,1,0,5,3,21.5520113,41.05658616,13.84054693,4,1.195930289,13.14581412,10.84102511,-29.63486815,-13.31346964,-1.239730116,41.4650339,0,11,,0,4,12.96090373,4,16,-3.24555651,-32.41575304,37.64998732,,,30.29855696,-26.1749562,0
85.32655947,13,10,19.3174887,1,3,23,-23.15097127,8,0,93.93658655,44.59280418,-22.98336163,-136.6139684,,-8.384562329,16,1,-14.67579008,31.16048655,6,6,3,9,-10.27374897,14,10,55.41959978,3,0,3,4,2.360011095,73.87376463,-33.77812214,3,0.966000282,0.587419919,-5.735172205,-43.6242161,58.82700404,-3.270048127,31.93414758,0,12,5.147074395,0,4,23.96984609,3,15,12.64397319,8.341424521,-24.63000493,-49.23460408,32.00323164,41.41879757,-13.81112833,0
-142.2737035,,10,14.30463992,1,3,24,-86.67166106,,0,,86.6744386,73.85441736,-109.7152482,18,10.70849424,18,1,5.974937736,14.48020806,2,4,,,-2.813677293,12,14,46.19374366,4,0,3,2,13.04787836,88.27903644,-20.24284029,3,1.278661414,63.31196204,-15.73346621,-28.80927297,-16.9159754,3.431913927,26.71755043,0,9,-26.83906617,1,7,21.42154839,2,15,-0.245829903,-88.32058427,13.06385134,-57.55182613,10.13489633,35.63062796,-35.71653935,0
