age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,class
37,management,married,tertiary,no,1403,yes,no,10,jul,91,15,-1,0,no
36,services,single,secondary,no,-253,yes,no,14,apr,1073,1,-1,0,yes
47,blue-collar,married,primary,no,-406,no,yes,8,jul,243,5,-1,0,no
57,housemaid,married,primary,no,501,yes,yes,11,feb,105,7,188,2,no
33,blue-collar,married,secondary,yes,-406,yes,yes,14,jul,332,2,-1,0,no
42,services,divorced,unknown,no,-291,yes,no,14,jul,129,2,-1,0,no
30,blue-collar,single,primary,no,1803,yes,no,12,may,202,2,-1,0,no
28,blue-collar,single,primary,no,431,yes,no,13,may,68,2,363,2,no
48,management,married,tertiary,no,879,no,no,19,nov,136,3,-1,0,no
59,retired,married,primary,no,-90,no,yes,15,jul,41,5,-1,0,no
59,self-employed,married,tertiary,no,0,yes,no,23,jul,256,1,-1,0,no
42,housemaid,single,secondary,no,578,no,no,28,jan,44,1,-1,0,no
45,management,married,tertiary,no,1788,no,no,2,jun,177,2,301,2,no
40,management,married,tertiary,no,60,no,no,16,jun,172,6,-1,0,no
60,admin.,married,secondary,no,1538,no,no,13,aug,352,2,-1,0,no
41,technician,married,secondary,no,1946,no,no,28,aug,327,9,-1,0,no
27,unemployed,single,secondary,no,92,yes,no,30,jan,274,4,-1,0,no
30,technician,married,tertiary,no,1570,yes,no,26,may,260,1,-1,0,no
34,technician,married,tertiary,no,285,yes,yes,29,may,223,4,-1,0,no
20,blue-collar,single,secondary,no,129,yes,yes,13,may,190,1,-1,0,no
46,management,divorced,tertiary,no,233,yes,yes,14,may,57,4,-1,0,no
36,blue-collar,married,secondary,no,13,no,no,3,jun,284,1,-1,0,no
28,blue-collar,single,secondary,no,-267,yes,no,15,may,145,2,329,4,no
45,blue-collar,married,primary,no,328,yes,no,12,aug,174,4,-1,0,no
52,admin.,divorced,secondary,no,-342,no,no,19,may,153,1,-1,0,no
35,entrepreneur,married,secondary,no,4872,yes,no,15,may,34,3,-1,0,no
36,admin.,married,secondary,no,96,no,no,30,apr,208,1,87,1,yes
45,technician,married,secondary,no,1786,yes,yes,15,jul,78,4,-1,0,no
46,self-employed,married,tertiary,no,137,yes,yes,5,may,246,1,-1,0,no
56,technician,single,secondary,no,1437,yes,no,20,nov,367,8,-1,0,no
26,blue-collar,single,secondary,no,26,yes,yes,15,may,899,1,-1,0,yes
37,technician,married,secondary,no,-21,yes,no,27,may,229,2,-1,0,no
54,retired,married,secondary,no,763,no,no,4,aug,389,2,-1,0,no
54,blue-collar,married,secondary,no,1777,yes,no,18,may,13,5,178,6,no
42,management,married,tertiary,no,9916,yes,no,21,nov,306,1,-1,0,no
55,management,married,tertiary,no,1713,no,no,27,aug,88,5,-1,0,no
34,self-employed,married,tertiary,no,2427,no,no,11,aug,90,3,70,3,no
32,management,single,tertiary,no,718,yes,no,15,jun,95,1,-1,0,yes
33,management,married,tertiary,no,1602,no,no,21,nov,44,3,-1,0,no
31,services,single,secondary,no,469,no,yes,2,feb,111,1,-1,0,no
27,admin.,single,secondary,no,6492,no,no,6,feb,7,6,-1,0,no
50,admin.,married,secondary,no,4117,no,no,21,nov,530,1,-1,0,yes
32,management,married,tertiary,no,0,no,no,9,may,280,1,-1,0,no
41,blue-collar,married,primary,no,2053,no,no,31,jul,81,4,-1,0,no
60,management,married,tertiary,no,70,no,no,21,aug,36,1,-1,0,no
54,services,married,tertiary,no,0,no,no,28,aug,282,2,-1,0,no
37,admin.,divorced,secondary,no,295,yes,yes,19,aug,150,2,-1,0,no
60,management,married,tertiary,no,3876,no,yes,5,aug,445,3,-1,0,no
60,housemaid,married,primary,no,2270,yes,no,9,jul,206,1,-1,0,no
49,management,married,tertiary,no,2139,no,no,5,aug,278,1,-1,0,no
35,blue-collar,married,secondary,no,503,yes,yes,9,may,57,2,-1,0,no
